"Name","ipfsUrl","Accessories","Artifacts","Background","Body","Coins","Expression","Eyes","Hieroglyphs","Keyword","Mouth"
"Chia Friends #2600","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2600.png",,,"Swamp","Cactus (Purple)",,,"Blue",,,"Happy (Purple)"
"Chia Friends #2601","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2601.png","Flower (Yellow)",,"Dolphin","Marmot (Brown)",,"Wide Eyes","3D Glasses",,,"Snout (Sullen)"
"Chia Friends #2602","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2602.png",,,"Mint","K32 (Steel)","Triangle",,"Blue","2",,"Smile (Steel)"
"Chia Friends #2603","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2603.png",,"Fireball (Yellow)","Squash","Marmot (Blue)",,"Wide Eyes","Cyborg",,,"Snout (Eating)"
"Chia Friends #2604","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2604.png","Mohawk (Green)",,"Tuna & Gradient","Cactus (Purple)",,"Wide Eyes","Purple",,,"Smile (Purple)"
"Chia Friends #2605","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2605.png",,,"Swamp","Cactus (esaung)",,"Angry (Green)","Orange",,,"Carne (Purple)"
"Chia Friends #2606","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2606.png","Mohawk (Purple)",,"Cherry Blossom","Starling",,,"3D Glasses",,,"Beak (Long)"
"Chia Friends #2607","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2607.png",,,"Caribbean","Marmot (Brown)",,,"Rainbow",,,"Snout (Eating)"
"Chia Friends #2608","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2608.png",,,"Cranberry","Parakeet (Yellow)","Smile",,"Cyborg",,,"Beak (Small)"
"Chia Friends #2609","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2609.png",,,"Green Lasers & Stars","Parakeet (Green)",,,"Cyborg",,,"Beak (Small)"
"Chia Friends #261","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/261.png",,,"Nighttime & Watercolor","Marmot (Red)",,"Wide Eyes","Blue",,,"Snout (Sullen)"
"Chia Friends #2610","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2610.png",,,"Green Lasers","K32 (Jade)","Diamond",,"Seer (Jade)","1",,"Stoic"
"Chia Friends #2611","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2611.png",,,"Mint","Parakeet (Yellow)",,,"Cyborg",,,"Beak (Small)"
"Chia Friends #2612","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2612.png",,,"Swamp","Starling",,,"Vipers",,,"Beak (Long)"
"Chia Friends #2613","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2613.png",,,"Dolphin","K32 (Steel)",,,"Yellow","2",,"Sad (Steel)"
"Chia Friends #2614","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2614.png",,"Fireball (Blue)","Flax & Sparkle","K32 (Steel)",,,"Yellow","1",,"Smile (Steel)"
"Chia Friends #2615","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2615.png",,,"Dan Perrywinkle & Gradient","Starling","Pi",,"Vipers",,,"Beak (Long)"
"Chia Friends #2616","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2616.png",,,"Fern","Cactus (Albino)",,"Wide Eyes","Orange",,,"Happy (Tan)"
"Chia Friends #2617","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2617.png",,"Emerald","Dolphin & Shimmer","Starling",,,"Laser Visor",,,"Beak (Long)"
"Chia Friends #2618","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2618.png",,,"Fern","Parakeet (Green)","Flame",,"Purple",,,"Beak (Small)"
"Chia Friends #2619","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2619.png",,"Fireball (Yellow)","Green Lasers","K32 (Jade)",,,"Seer (Jade)","1",,"Stoic"
"Chia Friends #262","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/262.png","Mohawk (Blue)",,"Caribbean","Cucumber",,"Wide Eyes","Orange",,,"Frown (Green)"
"Chia Friends #2620","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2620.png",,"Emerald","Opaa & Gradient","Starling",,,"Rainbow",,,"Beak (Long)"
"Chia Friends #2621","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2621.png","Flower (Yellow)",,"Ice & Watercolor","Parakeet (Green)",,,"Cyborg",,,"Beak (Small)"
"Chia Friends #2622","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2622.png","Verdant",,"Thistle","K32 (Steel)",,,"Closed","4",,"Sad (Steel)"
"Chia Friends #2623","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2623.png",,,"Seashell & Gradient","K32 (Steel)",,,"Yellow","1",,"Jagged (Steel)"
"Chia Friends #2624","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2624.png",,,"Green & Gradient","K32 (Steel)",,,"Green","1",,"Jagged (Steel)"
"Chia Friends #2625","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2625.png","Verdant",,"Cherry Blossom","K32 (Steel)",,,"Red","2",,"Happy (Steel)"
"Chia Friends #2626","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2626.png","Flower (Yellow)",,"Swamp","Cactus (Red)",,,"Cyborg",,,"Ooo (Purple)"
"Chia Friends #2627","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2627.png",,,"Tundra & Watercolor","Starling",,,"Shades",,,"Beak (Long)"
"Chia Friends #2628","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2628.png",,,"Banana & Shimmer","Starling",,,"Cyborg",,,"Beak (Long)"
"Chia Friends #2629","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2629.png",,"Emerald","Flax & Watercolor","Parakeet (Yellow)",,,"Laser Visor",,,"Beak (Small)"
"Chia Friends #263","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/263.png",,,"Seashell & Watercolor","Broccoli (Purple)","Swirl",,"Rainbow",,,"Frown (Purple)"
"Chia Friends #2630","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2630.png",,,"Caribbean & Watercolor","K32 (Steel)","Butterfly",,"Closed","3",,"Happy (Steel)"
"Chia Friends #2631","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2631.png","Verdant","Ruby","Ice","Cactus (Purple)",,"Wide Eyes","Blue",,,"Smile (Purple)"
"Chia Friends #2632","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2632.png",,,"Slate","K32 (Steel)",,,"Closed","3",,"Jagged (Steel)"
"Chia Friends #2633","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2633.png",,,"Seashell & Gradient","Starling",,,"Green",,,"Beak (Long)"
"Chia Friends #2634","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2634.png",,,"Lilac & Watercolor","Marmot (Brown)",,,"Laser Visor",,,"Snout (Drool)"
"Chia Friends #2635","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2635.png",,"Fireball (Blue)","Opaa","Marmot (Red)",,,"Cyborg",,,"Snout (Drool)"
"Chia Friends #2636","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2636.png","Mohawk (Purple)",,"Sea Foam & Gradient","Starling",,,"Zombie",,,"Beak (Long)"
"Chia Friends #2637","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2637.png",,"Fireball (Yellow)","Caribbean","Parakeet (Yellow)",,,"Laser Visor",,,"Beak (Small)"
"Chia Friends #2638","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2638.png",,,"Mauve & Sparkle","Cactus (Albino)",,"Wide Eyes","Rainbow",,,"Happy (Tan)"
"Chia Friends #2639","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2639.png",,,"Mauve","Marmot (Green)",,"Wide Eyes","Vipers",,,"Snout (Small)"
"Chia Friends #264","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/264.png",,,"Lilac","Marmot (Brown)","Rainbow","Squint (Brown)","Orange",,,"Snout (Sullen)"
"Chia Friends #2640","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2640.png",,,"Worm","Cactus (Albino)",,"Wide Eyes","Blue",,,"Ooo (Tan)"
"Chia Friends #2641","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2641.png",,,"Fern & Sparkle","Parakeet (Green)",,,"Rainbow",,,"Beak (Small)"
"Chia Friends #2642","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2642.png",,"Sparkles","Swamp & Gradient","Parakeet (Green)",,,"3D Glasses",,,"Beak (Small)"
"Chia Friends #2643","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2643.png",,,"Yak","Marmot (Purple)",,,"Cyborg",,,"Snout (Eating)"
"Chia Friends #2644","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2644.png","Verdant",,"Banana & Gradient","Parakeet (Yellow)",,,"Blue",,,"Beak (Small)"
"Chia Friends #2645","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2645.png",,"Fish","Sand & Glimmer","Cactus (Purple)",,"Wide Eyes","Shades",,,"Smile (Purple)"
"Chia Friends #2646","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2646.png",,,"Sand","K32 (Steel)",,"Relaxed (Steel)","Blue","1",,"Smile (Steel)"
"Chia Friends #2647","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2647.png",,,"Tundra & Sparkle","Marmot (Brown)",,"Wide Eyes","Green",,,"Snout (Drool)"
"Chia Friends #2648","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2648.png","Bubblegum",,"Watermellon & Watercolor","K32 (Steel)",,,"Yellow","4",,"Smile (Steel)"
"Chia Friends #2649","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2649.png",,"Emerald","Jellyfish","K32 (Steel)",,,"Blue","1",,"Sad (Steel)"
"Chia Friends #265","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/265.png",,,"Banana","Starling",,,"Green",,,"Beak (Long)"
"Chia Friends #2650","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2650.png",,"Fireball (Yellow)","Dan Perrywinkle & Watercolor","Starling",,,"Cyborg",,,"Beak (Long)"
"Chia Friends #2651","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2651.png",,,"Yak","Parakeet (Yellow)",,,"Cyborg",,,"Beak (Small)"
"Chia Friends #2652","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2652.png",,,"Sky","Parakeet (Green)",,,"Cyborg",,,"Beak (Small)"
"Chia Friends #2653","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2653.png","Mohawk (Green)",,"Swamp","Seal",,,"Cyborg",,,"Snout (Drool)"
"Chia Friends #2654","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2654.png",,,"Owl & Glimmer","Parakeet (Yellow)","Diamond",,"Rainbow",,,"Beak (Small)"
"Chia Friends #2655","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2655.png","Verdant",,"Fern","Starling",,,"Blue",,,"Beak (Long)"
"Chia Friends #2656","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2656.png",,"Emerald","Sand","K32 (Steel)",,,"Green","3",,"Sad (Steel)"
"Chia Friends #2657","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2657.png",,,"Swamp & Gradient","Cactus (Red)",,"Wide Eyes","Cyborg",,,"Frown (Tan)"
"Chia Friends #2658","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2658.png",,,"quexington","Starling","Asterisk",,"Orange",,,"Beak (Long)"
"Chia Friends #2659","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2659.png",,,"Jellyfish","K32 (Steel)","Squiggle",,"Blue","4",,"Smile (Steel)"
"Chia Friends #266","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/266.png",,,"Yak","K32 (Steel)",,,"Blue","4",,"Jagged (Steel)"
"Chia Friends #2660","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2660.png","Flower (Red)",,"Jellyfish","Parakeet (Yellow)",,,"3D Glasses",,,"Beak (Small)"
"Chia Friends #2661","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2661.png",,,"Jellyfish & Gradient","Seal",,,"Orange",,,"Snout (Hungry)"
"Chia Friends #2662","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2662.png","Bubblegum",,"Worm","Parakeet (Yellow)","Hamburger",,"Vipers",,,"Beak (Small)"
"Chia Friends #2663","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2663.png",,"Yoyo","Mauve","Cactus (Purple)",,"Wide Eyes","Enlightened",,,"Frown (Purple)"
"Chia Friends #2664","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2664.png","Bow (Purple)",,"Owl","Cactus (Purple)",,"Wide Eyes","Purple",,,"Frown (Purple)"
"Chia Friends #2665","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2665.png",,,"Grid & Shimmer","K32 (Jade)",,,"Seer (Jade)","4",,"Stoic"
"Chia Friends #2666","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2666.png",,,"Sky & Gradient","K32 (Steel)","Diamond",,"Blue","3",,"Happy (Steel)"
"Chia Friends #2667","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2667.png",,,"quexington","Cactus (Red)",,,"Rainbow",,,"Frown (Tan)"
"Chia Friends #2668","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2668.png",,,"Gold Fish","K32 (Steel)","Circle",,"Blue","3",,"Intercom (Steel)"
"Chia Friends #2669","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2669.png",,,"Dolphin","Starling",,,"Vipers",,,"Beak (Long)"
"Chia Friends #267","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/267.png",,,"Slate","Cactus (Red)","Eye","Wide Eyes","Rainbow",,,"Ooo (Purple)"
"Chia Friends #2670","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2670.png",,,"Tundra & Watercolor","Cactus (Red)",,"Wide Eyes","Green",,,"Smile (Purple)"
"Chia Friends #2671","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2671.png",,"Fireball (Blue)","Gold Fish","Cactus (Green)",,"Wide Eyes","Rainbow",,,"Ooo (Green)"
"Chia Friends #2672","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2672.png",,"Emerald","Swamp & Gradient","Cactus (esaung)",,"Wide Eyes","3D Glasses",,,"Happy (Tan)"
"Chia Friends #2673","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2673.png",,,"Swamp","K32 (Steel)",,,"Blue","2",,"Intercom (Steel)"
"Chia Friends #2674","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2674.png",,"Emerald","Mint & Sparkle","Cactus (Red)",,"Wide Eyes","3D Glasses",,,"Frown (Tan)"
"Chia Friends #2675","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2675.png",,"Fireball (Yellow)","Owl & Gradient","Marmot (Red)",,,"Green",,,"Snout (Drool)"
"Chia Friends #2676","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2676.png",,,"Watermellon & Glimmer","Marmot (Brown)",,,"Zombie",,,"Snout (Hungry)"
"Chia Friends #2677","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2677.png",,,"Dolphin & Sparkle","K32 (Steel)",,,"Yellow","4",,"Jagged (Steel)"
"Chia Friends #2678","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2678.png",,,"Elsewhere & Gradient","K32 (Jade)",,,"Seer (Jade)","4",,"Stoic"
"Chia Friends #2679","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2679.png","Flower (Yellow)","Fireball (Green)","Tundra","Broccoli (Green)",,"Angry (Green)","Green",,,"Ooo (Green)"
"Chia Friends #268","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/268.png",,,"Nighttime & Watercolor","Cucumber",,"Squint (Green)","Orange",,,"Frown (Green)"
"Chia Friends #2680","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2680.png",,,"Sand & Gradient","Cactus (esaung)",,"Wide Eyes","Laser Visor",,,"Carne (Purple)"
"Chia Friends #2681","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2681.png",,,"Swamp","Parakeet (Green)",,,"Cyborg",,,"Beak (Small)"
"Chia Friends #2682","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2682.png",,,"Slate & Watercolor","Parakeet (Yellow)",,,"Rainbow",,,"Beak (Small)"
"Chia Friends #2683","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2683.png",,,"Slate & Gradient","Cucumber",,"Wide Eyes","Orange",,,"Smile (Green)"
"Chia Friends #2684","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2684.png",,,"Tuna & Watercolor","Broccoli (Purple)",,,"Blue",,,"Ooo (Purple)"
"Chia Friends #2685","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2685.png",,,"quexington","Marmot (Gray)",,,"Zombie",,,"Snout (Small)"
"Chia Friends #2686","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2686.png",,,"Watermellon & Glimmer","Marmot (Brown)",,,"Cyborg",,,"Snout (Tooth)"
"Chia Friends #2687","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2687.png",,"Fireball (Yellow)","Green Lasers & Stars","Parakeet (Green)",,,"Blue",,,"Beak (Small)"
"Chia Friends #2688","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2688.png","Verdant",,"quexington & Shimmer","Cactus (Albino)",,,"Purple",,,"Ooo (Tan)"
"Chia Friends #2689","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2689.png","Verdant",,"Sand & Gradient","K32 (Steel)","Leaf",,"Closed","2",,"Jagged (Steel)"
"Chia Friends #269","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/269.png",,,"Worm & Gradient","Starling",,,"Enlightened",,,"Beak (Long)"
"Chia Friends #2690","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2690.png",,,"Nighttime & Sparkle","K32 (Steel)",,"Relaxed (Steel)","Closed","3",,"Sad (Steel)"
"Chia Friends #2691","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2691.png",,,"Gold Fish & Watercolor","Parakeet (Yellow)",,,"Rainbow",,,"Beak (Small)"
"Chia Friends #2692","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2692.png","Bubblegum",,"Mauve","Broccoli (Purple)",,"Wide Eyes","Blue",,,"Happy (Purple)"
"Chia Friends #2693","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2693.png",,,"Slate & Gradient","Starling",,,"Cyborg",,,"Beak (Long)"
"Chia Friends #2694","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2694.png",,,"Monster & Gradient","Parakeet (Yellow)","Diamond",,"Purple",,,"Beak (Small)"
"Chia Friends #2695","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2695.png",,,"Sky & Gradient","Cactus (Albino)","Aries",,"Laser Visor",,,"Ooo (Tan)"
"Chia Friends #2696","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2696.png",,,"Yak","Cactus (Green)",,"Wide Eyes","Enlightened",,,"Ooo (Green)"
"Chia Friends #2697","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2697.png","Mohawk (Purple)",,"Grid","Broccoli (Gold)",,,"Laser Visor",,,"Happy (Gold)"
"Chia Friends #2698","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2698.png",,,"Opaa","Seal",,,"3D Glasses",,,"Snout (Drool)"
"Chia Friends #2699","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2699.png",,,"Dan Perrywinkle & Watercolor","Broccoli (Purple)",,"Wide Eyes","Shades",,,"Happy (Purple)"
"Chia Friends #27","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/27.png",,,"Swamp & Gradient","K32 (Steel)","Butterfly",,"Green","1",,"Happy (Steel)"
"Chia Friends #270","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/270.png","Flower (Yellow)",,"Squash","Parakeet (Yellow)",,,"Rainbow",,,"Beak (Small)"
"Chia Friends #2700","https://bafybeigzcazxeu7epmm4vtkuadrvysv74lbzzbl2evphtae6k57yhgynp4.ipfs.nftstorage.link/2700.png",,,"Jellyfish","Starling",,,"Green",,,"Beak (Long)"
